Category,Name,Birth date,Gender,Nationality,Link,Other name,Place of birth,Death date,Weak alias
crime.war,"Stojan ZUPLJANIN · Stojan Župljanin · ZUPLJANIN, Stojan",1951-09-22 · 1958-09-28,null,null,https://www.opensanctions.org/entities/Q153333/,"Stojan Zupljanin · Zupljanin · Župljanin · Жуплянин, Стоян · Стоян Жуплянин · 3 more...","Maslovare, Bosnia-Herzegovina · Maslovare, Kotor Varoš, Bosnia and Herzegovina · Republika Srpska",null,null
crime.war,"LAZAREVIC, Vladimir · Vladimir LAZAREVIC · Vladimir Lazarević",1949-03-23,null,null,https://www.opensanctions.org/entities/Q1565342/,"Владимир Лазаревић · Генерал Владимир Лазаревић · Лазаревич, Владимир · Лазаревић Владимир · فلاديمير لازارفيتش · 1 more...",Gricar · Grnčar,null,null
crime.war,Jadranko Prlić,1959-06-10,null,null,https://www.opensanctions.org/entities/Q1567559/,"Jadranko Prlic · Јадранко Прлић · Прлич, Ядранко · يادرانكو برليتش · چادرانكو پرليك · 3 more...","Dakovo, Croatia · Đakovo",null,null
crime.war,Goran Hadžić,1958-09-07,null,null,https://www.opensanctions.org/entities/Q295043/,Goran Hadzic · Goran Hadzić · Goran Hadćić · Goran Hadžic · Hadzic · 17 more...,Vinkovci,null,null
crime.war,Ante Gotovina,1955-10-12,null,null,https://www.opensanctions.org/entities/Q297318/,Ante Gotovina · Gotovina · Ivan Grabovac · Toni Moremante · Анте Готовина · 15 more...,Tkon,null,null
crime.war,"SESELJ, Vojislav · VOJISLAV SESELj · Vojislav SESELJ · Vojislav Šešelj",1954-10-11,null,null,https://www.opensanctions.org/entities/Q298063/,Dr Vojislav Šešelj · Magistar · Prof. Dr Vojislav Šešelj · Seselj · Sešelj · 38 more...,"Sarajevo · Sarajevo, Bosnia and Herzegovina · Sarajevo, Bosnia-Herzegovina",null,null
crime.war,"KARADZIC, Radovan · Radovan KARADZIC · Radovan Karadžić",1945-06-19,null,null,https://www.opensanctions.org/entities/Q123923/,3Д · D3 · Dr. Dabic · Dragan Dabic · Dragan Dabić · 77 more...,"Municipality of Šavnik, Montenegro · Petnica, Serbia and Montenegro · Petnjica",null,null
crime.war,"Goran JELISIC · Goran Jelisić · JELISIC, Goran",1968-06-07,null,null,https://www.opensanctions.org/entities/Q1260309/,"Goran Jelisic · Jelisić, Goran · Serb Adolf · Горан Јелисић · Горан Елисич · 3 more...","Bijeljina · Bijeljina, Bosnia and Herzegovina · Bijeljina, Bosnia-Herzegovina",null,null
crime.war,Duško Tadić,1955-10-01,null,null,https://www.opensanctions.org/entities/Q1268263/,Dusko Tadic · Dusko Tadić · Duško Tadic · Душко Тадић (политичар) · دوشكو تاديتش · 1 more...,"Kozarac, Prijedor",null,null
crime.war,"Nebojsa PAVKOVIC · Nebojša Pavković · PAVKOVIC, Nebojsa",1946-04-10 · 1946-04-16,null,null,https://www.opensanctions.org/entities/Q1269478/,Nebojsa Pavkovic · Nebojša Pavkovič · Pavković Nebojša · Небойша Павкович · Небојша Павковић · 10 more...,"Senjski Rudnik · Senjski Rudnik, Municipality of Despotovac, Serbia · Senjski Rudnik, Serbia and Montenegro",null,null
